Name,Code,Description,CodeType,
smyCoverType,1000,מחטניים,SHORT,
smyCoverType,1100,אורנים,SHORT,
smyCoverType,1101,אורן רדיאטה (מקרין),SHORT,
smyCoverType,1103,אורן ברוטיה,SHORT,
smyCoverType,1104,אורן הצנובר (גלעין),SHORT,
smyCoverType,1105,אורן ירושלים,SHORT,
smyCoverType,1106,אורן כנארי,SHORT,
smyCoverType,1200,ברושים,SHORT,
smyCoverType,1201,ברוש אטלנטי,SHORT,
smyCoverType,1202,ברוש אריזוני,SHORT,
smyCoverType,1204,ברוש מצוי,SHORT,
smyCoverType,1205,ברוש מקרוקרפה (גדול פרות),SHORT,
smyCoverType,1221,טטרקליניס ארטיקולטה,SHORT,
smyCoverType,1221,טטרקליניס מפריק,SHORT,
smyCoverType,1231,קליטריס וורוקוזה,SHORT,
smyCoverType,1241,תויה מזרחית,SHORT,
smyCoverType,1301,ארז הלבנון,SHORT,
smyCoverType,1302,ארז אטלנטי,SHORT,
smyCoverType,1303,ארז הימלאי,SHORT,
smyCoverType,1304,ארז הלבנון קפריסאי,SHORT,
smyCoverType,1310,ארזים,SHORT,
smyCoverType,1900,מעורב מחטני,SHORT,
smyCoverType,1901,מחטני נמוך,SHORT,
smyCoverType,1902,מעורב נמוך,SHORT,
smyCoverType,1903,רחבי עלים נמוך,SHORT,
smyCoverType,1910,מעורב אחר,SHORT,
smyCoverType,1991,מעורב מחטני-רחבי עלים,SHORT,
smyCoverType,1992,מעורב מחטני-חורש,SHORT,
smyCoverType,1993,מעורב מחטני-אקליפטוס,SHORT,
smyCoverType,1994,מעורב מחטני-שיטים פולשני,SHORT,
smyCoverType,1995,מעורב רחבי עלים-שיטים פולשני,SHORT,
smyCoverType,1996,מעורב אקליפטוס-שיטים פולשני,SHORT,
smyCoverType,1997,מעורב חורש שיטים פולשני,SHORT,
smyCoverType,1998,מעורב רחבי עלים-חורש,SHORT,
smyCoverType,2000,מעורב רחבי עלים-אקליפטוס,SHORT,
smyCoverType,2001,מעורב מחטני-אשלים,SHORT,
smyCoverType,2002,מעורב רחבי עלים-אשלים,SHORT,
smyCoverType,2003,מעורב אקליפטוס-חורש,SHORT,
smyCoverType,2013,מעורב אשלים-חורש,SHORT,
smyCoverType,2004,מעורב אקליפטוס-אשלים,SHORT,
smyCoverType,2005,מעורב אשלים-שיטים,SHORT,
smyCoverType,2006,מעורב אשלים-שיטים פולשני,SHORT,
smyCoverType,2007,מעורב מחטני-שיטים,SHORT,
smyCoverType,2008,מעורב שיטים-חורש,SHORT,
smyCoverType,2009,מעורב אקליפטוס-שיטים,SHORT,
smyCoverType,2010,מעורב רחבי עלים-שיטים,SHORT,
smyCoverType,2012,מעורב שיטים-שיטים פולשני,SHORT,
smyCoverType,2100,אקליפטוסים,SHORT,
smyCoverType,2103,אקליפטוס אוקסידנטליס,SHORT,
smyCoverType,2108,אקליפטוס גומפוצפלה,SHORT,
smyCoverType,2113,אקליפטוס המקור,SHORT,
smyCoverType,2116,איקליפטוס כתום ('טורווד'),SHORT,
smyCoverType,2117,אקליפטוס טורקוואטה,SHORT,
smyCoverType,2118,אקליפטוס לאוקוקסילון,SHORT,
smyCoverType,2126,אקליפטוס סטריקלנדי,SHORT,
smyCoverType,2129,אקליפטוס ספטולטה,SHORT,
smyCoverType,2130,אקליפטוס סרג'נטי,SHORT,
smyCoverType,2200,שיטים,SHORT,
smyCoverType,2201,שיטה אלטיור ,SHORT,
smyCoverType,2203,שיטה ארמופוליה,SHORT,
smyCoverType,2206,שיטה הורידה,SHORT,
smyCoverType,2209,שיטה ויקטוריה,SHORT,
smyCoverType,2211,שיטה כחלחלה,SHORT,
smyCoverType,2215,שיטה מלבינה,SHORT,
smyCoverType,2217,שיטה סליצינה (עלי ערבה),SHORT,
smyCoverType,2218,שיטה סוככנית,SHORT,
smyCoverType,2221,שיטה סלילנית,SHORT,
smyCoverType,2222,שיטה מחטנית (סקלרוספרמה),SHORT,
smyCoverType,2225,שיטה פנדולה,SHORT,
smyCoverType,2229,שיטה עגולת-זרעים,SHORT,
smyCoverType,2230,שיטת המשוכות,SHORT,
smyCoverType,2231,שיטת הנגב,SHORT,
smyCoverType,2235,שיטה סיבריאנה,SHORT,
smyCoverType,2244,שיטה צהובת גזע (קסנטופלאה),SHORT,
smyCoverType,2250,שיטים פולשני,SHORT,
smyCoverType,2306,אולמוס שעיר,SHORT,
smyCoverType,2308,אילנתה בלוטית,SHORT,
smyCoverType,2309,אזדרכת מצויה ,SHORT,
smyCoverType,2381,פלפלון בכות,SHORT,
smyCoverType,2382,פלפלון דמוי-אלה ,SHORT,
smyCoverType,2382,פלפלון דמוי-אלה,SHORT,
smyCoverType,2390,פרוזופיס (ינבוט),SHORT,
smyCoverType,2394,ינבוט המסקיטו יוליפלורה,SHORT,
smyCoverType,2411,צפצפה מכסיפה,SHORT,
smyCoverType,2420,קזוארינה,SHORT,
smyCoverType,2440,תות,SHORT,
smyCoverType,2450,אגוזים,SHORT,
smyCoverType,2451,אגוז המלך,SHORT,
smyCoverType,2900,מעורב רחבי עלים,SHORT,
smyCoverType,2910,רחבי עלים שונים,SHORT,
smyCoverType,2990,בוסתנים ומטעים,SHORT,
smyCoverType,2994,זיתים,SHORT,
smyCoverType,2995,חרובים,SHORT,
smyCoverType,2998,דקלים,SHORT,
smyCoverType,3011,אגס סורי,SHORT,
smyCoverType,3021,אדר סורי,SHORT,
smyCoverType,3030,אלות,SHORT,
smyCoverType,3031,אלה אטלנטית,SHORT,
smyCoverType,3032,אלה אמיתית,SHORT,
smyCoverType,3033,אלה ארץ - ישראלית,SHORT,
smyCoverType,3040,אלונים,SHORT,
smyCoverType,3042,אלון מצוי,SHORT,
smyCoverType,3044,אלון תבור,SHORT,
smyCoverType,3045,אלון תולע,SHORT,
smyCoverType,3051,אשחר רחב-עלים,SHORT,
smyCoverType,3060,אשלים,SHORT,
smyCoverType,3061,אשל היאור,SHORT,
smyCoverType,3062,אשל הפרקים,SHORT,
smyCoverType,3063,אשל זקוף,SHORT,
smyCoverType,3071,בר-זית בינוני,SHORT,
smyCoverType,3081,דולב מזרחי,SHORT,
smyCoverType,3091,זית אירופי,SHORT,
smyCoverType,3101,זקום מצרי,SHORT,
smyCoverType,3111,חרוב מצוי,SHORT,
smyCoverType,3121,כליל החורש,SHORT,
smyCoverType,3131,ליבנה רפואי,SHORT,
smyCoverType,3140,מורינגה,SHORT,
smyCoverType,3141,מורינגה רותמית,SHORT,
smyCoverType,3151,מורן החורש,SHORT,
smyCoverType,3161,מילה סורית,SHORT,
smyCoverType,3171,מיש דרומי,SHORT,
smyCoverType,3181,עוזרר קוצני,SHORT,
smyCoverType,3182,עוזרר קוצני (מצוי),SHORT,
smyCoverType,3191,ער אציל (דפנה),SHORT,
smyCoverType,3201,ערבה מחודדת,SHORT,
smyCoverType,3221,פיקוס השיקמה,SHORT,
smyCoverType,3222,פיקוס התאנה,SHORT,
smyCoverType,3223,פיקוס בת-שקמה,SHORT,
smyCoverType,3231,צפצפת הפרת,SHORT,
smyCoverType,3241,קטלב מצוי,SHORT,
smyCoverType,3251,שזיף הדב,SHORT,
smyCoverType,3261,שיזף מצוי,SHORT,
smyCoverType,3271,שקד מצוי,SHORT,
smyCoverType,3272,שקד קטן-עלים,SHORT,
smyCoverType,3900,חורש,SHORT,
smyCoverType,3935,יער גדות נחלים,SHORT,
smyCoverType,3960,גריגה,SHORT,
smyCoverType,3961,גריגה ים תיכונית,SHORT,
smyCoverType,3962,גריגה ערבתית,SHORT,
smyCoverType,3970,בתה,SHORT,
smyCoverType,3971,בתה ים-תיכונית,SHORT,
smyCoverType,3972,בתה ערבתית / חולית,SHORT,
smyCoverType,3973,בתה מדברית,SHORT,
smyCoverType,3980,עשבוני,SHORT,
smyCoverType,4001,אטד אירופאי,SHORT,
smyCoverType,4002,טיון דביק,SHORT,
smyCoverType,4003,מתנן שעיר,SHORT,
smyCoverType,4004,קיסוסית קוצנית,SHORT,
smyCoverType,4005,שבטן לבן,SHORT,
smyCoverType,4006,פואה מצויה,SHORT,
smyCoverType,4007,צמרנית הסלעים,SHORT,
smyCoverType,4008,שלהבית,SHORT,
smyCoverType,4009,טמוס,SHORT,
smyCoverType,4010,כתלה,SHORT,
smyCoverType,4011,מרווה,SHORT,
smyCoverType,4012,גלונית,SHORT,
smyCoverType,4013,געדה,SHORT,
smyCoverType,4014,דבקה,SHORT,
smyCoverType,4015,דלעת-נחש,SHORT,
smyCoverType,4101,אוג הבורסקאים,SHORT,
smyCoverType,4116,אחירותם החורש,SHORT,
smyCoverType,4121,אלת המסטיק,SHORT,
smyCoverType,4123,"אשחר א""י",SHORT,
smyCoverType,4125,דודוניאה דביקה,SHORT,
smyCoverType,4126,הדס מצוי,SHORT,
smyCoverType,4136,הרדוף הנחלים,SHORT,
smyCoverType,4157,כסייה סטורטי,SHORT,
smyCoverType,4160,לוטם מרווני,SHORT,
smyCoverType,4161,לוטם שעיר,SHORT,
smyCoverType,4163,קידה שעירה,SHORT,
smyCoverType,4164,מרווה ריחנית,SHORT,
smyCoverType,4165,מרווה משולשת,SHORT,
smyCoverType,4166,פיגם מצוי,SHORT,
smyCoverType,4174,צחנן מבאיש,SHORT,
smyCoverType,4177,רוזמרין רפואי,SHORT,
smyCoverType,4191,רותם המדבר,SHORT,
smyCoverType,4196,רימון מצוי,SHORT,
smyCoverType,4211,שיזף השיח,SHORT,
smyCoverType,4216,שיח-אברהם מצוי,SHORT,
smyCoverType,4221,ורד הכלב,SHORT,
smyCoverType,4225,צלף קוצני,SHORT,
smyCoverType,4226,צלף סחוסי,SHORT,
smyCoverType,4235,פתילת-המדבר הגדולה,SHORT,
smyCoverType,4531,צתרה ורודה,SHORT,
smyCoverType,4535,קורנית מקורקפת,SHORT,
smyCoverType,6205,ושינגטוניה חוטית,SHORT,
smyCoverType,6206,ושינגטוניה חסונה,SHORT,
smyCoverType,6241,תמר מצוי,SHORT,
smyCoverType,6425,צרסידיום פרחוני,SHORT,
smyCoverType,6432,פרקינסוניה שיכנית,SHORT,
smyCoverType,6551,פולובניית פורטון (פאולינה),SHORT,
smyCoverType,6577,פיקוס השדרות,SHORT,
smyCoverType,6582,פיקוס קדוש,SHORT,
smyCoverType,7162,גרויה שעירה,SHORT,
smyCoverType,7290,חלבלוב מגובשש,SHORT,
smyCoverType,7313,יסמין ריחני,SHORT,
smyCoverType,7373,לנטנה ססגונית,SHORT,
smyCoverType,7430,מללויקה,SHORT,
smyCoverType,7616,צבר,SHORT,
smyCoverType,7621,צחר כחלחל ,SHORT,
smyCoverType,7780,מלוח,SHORT,
smyCoverType,8000,חישת קנים,SHORT,
smyCoverType,8017,פטל קדוש,SHORT,
smyCoverType,8023,זלזלת,SHORT,
smyCoverType,8027,אספרג החורש,SHORT,
smyCoverType,8028,שרביטן מצוי,SHORT,
smyCoverType,8029,פרסיון גדול,SHORT,
smyCoverType,8061,גפן היין,SHORT,
smyCoverType,8136,יערה איטלקית,SHORT,
smyCoverType,9018,סירה קוצנית,SHORT,
smyCoverType,9019,אזוב מצוי,SHORT,
smyCoverType,9180,חמציץ נטוי,SHORT,
smyCoverType,9218,לענה שיחנית,SHORT,
smyCoverType,9261,פגוניה,SHORT,
smyCoverType,9372,אמברוסיה מכונסת (ומינים נוספים),SHORT,
smyCoverType,9373,טיונית החולות,SHORT,
smyCoverType,9666,חסת המים,SHORT,
smyCoverType,9900,יער דליל,SHORT,
smyCoverType,9970,מחקר,SHORT,
smyCoverType,9990,שטח פתוח,SHORT,
smyCoverType,9992,חקלאות,SHORT,
smyCoverType,9993,שטח מבונה,SHORT,
smyCoverType,30001,אטד החוף,SHORT,
smyCoverType,30002,אשבל מפוסק,SHORT,
smyCoverType,30003,אשחר מנוקד,SHORT,
smyCoverType,30004,גלונית הסלעים,SHORT,
smyCoverType,30005,גלונית מצויה,SHORT,
smyCoverType,30006,ויתניה משכרת (פולש),SHORT,
smyCoverType,30007,זוטה מעורקת,SHORT,
smyCoverType,30008,זוטה צפופה,SHORT,
smyCoverType,30009,ינבוט השדה,SHORT,
smyCoverType,30010,לוטמית ערבית,SHORT,
smyCoverType,30011,לוענית מצויה,SHORT,
smyCoverType,30012,נפית כפופה,SHORT,
smyCoverType,30013,עכנאי שרוע,SHORT,
smyCoverType,30014,עפרית אירופית,SHORT,
smyCoverType,30015,שברק מצוי,SHORT,
smyCoverType,30016,שמשון אזוביוני,SHORT,
smyCoverType,30017,תגית קיצית,SHORT,
smyCoverType,30018,חישת קנים,SHORT,
smyCoverType,30019,סמר,SHORT,
smyCoverType,30020,גומא,SHORT,
smyCoverType,30021,סוף,SHORT,
smyCoverType,30022,אקליפטוס פלטיפוס (פחוס עוקץ),SHORT,
smyCoverType,30023,אקליפטוס פופולנאה (צפצפתי),SHORT,
smyCoverType,30024,אקליפטוס יוטיליס (שימושי),SHORT,
smyCoverType,30025,חורשף קטן קרקפות,SHORT,
smyCoverType,30026,נואית קוצנית,SHORT,
smyForestDefectLevel,0,אין,LONG,
smyForestDefectLevel,2,זניח (%3-0),LONG,
smyForestDefectLevel,7,מועט (%10-3),LONG,
smyForestDefectLevel,22,בינוני (%33-10),LONG,
smyForestDefectLevel,49,גבוה (%66-33),LONG,
smyForestDefectLevel,82,גבוה מאוד (מעל %66),LONG,
smyForestDefectType,1,עיכוב בהתפתחות העצים,LONG,
smyForestDefectType,2,יחס צמרת קטן,LONG,
smyForestDefectType,3,גזעים דקים ביחס לגובה,LONG,
smyForestDefectType,4,כותרת דלילה,LONG,
smyForestDefectType,5,התייבשות החלק העליון בכותרת,LONG,
smyForestDefectType,6,הצהבת כותרת (כלורוזיס),LONG,
smyForestDefectType,7,רקבונות,LONG,
smyForestDefectType,8,קילופים או פצעי גיזום גדולים,LONG,
smyForestDefectType,9,"ריבוי גזעים (באיקליפטוס, רחבי עלים מינים מסוימים)",LONG,
smyForestDefectType,10,אחר (פרט בהערות),LONG,
smyHarmTree,0,אין,LONG,
smyHarmTree,2,זניח (%3-0),LONG,
smyHarmTree,7,מועט (%10-3),LONG,
smyHarmTree,22,בינוני (%33-10),LONG,
smyHarmTree,49,גבוה (%66-33),LONG,
smyHarmTree,82,גבוה מאוד (מעל %66),LONG,
smyHeightGroup,0,אין,LONG,
smyHeightGroup,1,קומת קרקע,LONG,
smyHeightGroup,2,בינונית,LONG,
smyHeightGroup,3,גבוהה,LONG,
smyHeightGroup,4,תמירה,LONG,
smyInvasiveEpicenterType,0,אין,LONG,
smyInvasiveEpicenterType,1,"מוקד קטן (עד 50 פרטים מעוצים או 50 מ""ר עשבוניים)",LONG,
smyInvasiveEpicenterType,2,"מוקד בינוני (50-200 פרטים מעוצים או 50-200 מ""ר עשבוניים)",LONG,
smyInvasiveEpicenterType,3,"מוקד גדול (מעל 200 פרטים מעוצים או מעל 200 מ""ר עשבוניים)",LONG,
smyRelativeDensity,0,אין עצים,LONG,
smyRelativeDensity,1,לא רלוונטי,LONG,
smyRelativeDensity,2,מותאם או גבוה,LONG,
smyRelativeDensity,3,גבוה,LONG,
smyRelativeDensity,4,גבוה מאוד,LONG,
smySamplingMethod,1,סקירה מלאה,LONG,
smySamplingMethod,2,הליכה בין נקודות,LONG,
smySamplingMethod,3,סקירה מבחוץ עם כניסה לשוליי השטח,LONG,
smySamplingMethod,4,סקירה מבחוץ בלבד,LONG,
smySeedlingBroadLeaf,0,אין,LONG,
smySeedlingBroadLeaf,1,5-1,LONG,
smySeedlingBroadLeaf,2,10-6,LONG,
smySeedlingBroadLeaf,3,20-11,LONG,
smySeedlingBroadLeaf,4,מעל 20,LONG,
smySeedlingConifer,0,אין,LONG,
smySeedlingConifer,1,20-1,LONG,
smySeedlingConifer,2,50-21,LONG,
smySeedlingConifer,3,100-51,LONG,
smySeedlingConifer,4,מעל 100,LONG,
smySeedlingType,0,אין,LONG,
smySeedlingType,1,התחדשות  טבעית,LONG,
smySeedlingType,2,נטיעה,LONG,
smySeedlingType,3,"נטיעה,התחדשות  טבעית",LONG,
smyStandAge,0,לא רלוונטי,LONG,
smyStandAge,1,בהקמה (1),LONG,
smyStandAge,2,בהקמה (2),LONG,
smyStandAge,3,בהקמה (3),LONG,
smyStandAge,4,בהקמה (4),LONG,
smyStandAge,5,בהקמה (5),LONG,
smyStandAge,6,חדש (6-10),LONG,
smyStandAge,11,צעיר (11-15),LONG,
smyStandAge,16,צעיר (16-20),LONG,
smyStandAge,21,מתבגר (21-25),LONG,
smyStandAge,26,מתבגר (26-30),LONG,
smyStandAge,31,בוגר (31-40),LONG,
smyStandAge,41,בוגר (41-50),LONG,
smyStandAge,51,בוגר (51-60),LONG,
smyStandAge,61,ותיק (61-75),LONG,
smyStandAge,76,ותיק (76-90),LONG,
smyStandAge,91,ותיק (91-105),LONG,
smyStandLayerComposition,1,חד שכבתי,LONG,
smyStandLayerComposition,2,דו שכבתי,LONG,
smyStandLayerComposition,3,רב שכבתי,LONG,
smyStandLayerComposition,0,אין קומת עצים,LONG,
smyTreeDensity,0,אין עצים,LONG,
smyTreeDensity,1,לא רלוונטי,LONG,
smyTreeDensity,2,10-1,LONG,
smyTreeDensity,3,20-11,LONG,
smyTreeDensity,4,40-21,LONG,
smyTreeDensity,5,60-41,LONG,
smyTreeDensity,6,100-61,LONG,
smyTreeDensity,7,מעל  100,LONG,
smyTreeLayerCover,0,אין,LONG,
smyTreeLayerCover,2,זניח (%3-0),LONG,
smyTreeLayerCover,7,פזור (%10-3),LONG,
smyTreeLayerCover,22,פתוח (%33-10),LONG,
smyTreeLayerCover,49,בינוני (%66-33),LONG,
smyTreeLayerCover,82,גבוה (מעל 66%),LONG,
smyUnderstoryType,4,עצים,LONG,
smyUnderstoryType,3935,צומח גדות נחלים,LONG,
smyUnderstoryType,3,שיחים,LONG,
smyUnderstoryType,2,בני שיח,LONG,
smyUnderstoryType,1,עשבוני,LONG,
smyUnderstoryType,0,ללא כיסוי,LONG,
smyUnderstoryType,-1,מינים פולשים,LONG,
smyVegformStand,2990,בוסתנים ומטעים,SHORT,
smyVegformStand,3970,בתה,SHORT,
smyVegformStand,3900,חורש,SHORT,
smyVegformStand,2100,יער איקליפטוס,SHORT,
smyVegformStand,3060,יער אשלים,SHORT,
smyVegformStand,3935,יער גדות נחלים,SHORT,
smyVegformStand,1900,יער מחטני,SHORT,
smyVegformStand,1901,יער מחטני נמוך,SHORT,
smyVegformStand,1991,יער מעורב,SHORT,
smyVegformStand,1910,יער מעורב אחר,SHORT,
smyVegformStand,1902,יער מעורב נמוך,SHORT,
smyVegformStand,2000,יער רחבי עלים,SHORT,
smyVegformStand,1903,יער רחבי עלים נמוך,SHORT,
smyVegformStand,2200,יער שיטים,SHORT,
smyVegformStand,2250,יער שיטים פולשני,SHORT,
smyVegformStand,9990,ללא כיסוי,SHORT,
smyVegformStand,3980,עשבוני,SHORT,
smyVegformStand,3960,שיחייה,SHORT,
smyVegformStand,9999,אין,SHORT,
